run_id,n,m,p,precision/iterations,singlet_injection,warm_start,parameter_vector,optimal_result,sdp_objective_value_step1,sdp_objective_value_king_normalized_step1,algorithm17_actual_energy,algorithm17_lower_bound_energy,initial_ws_energy_prodStates_step2,initial_sdp_statevector_energy,initial_sdp_statevec_ratio,initial_ws_energy_010101,QAOA_improvement_over_SDP_statevectorEnergy,QAOA_improvement_over_SDP_prodStatesEnergy,result,result_010101,approx_ratio,approx_ratio_010101,diff. approx. ratio,sdp ws greater,duration_seconds,duration_seconds_excluding_warm_start_cache_io,warm_start_cache_used,warm_start_compute_time_seconds,warm_start_load_time_seconds,warm_start_save_time_seconds,warm_start_effective_time_seconds,warm_start_cache_path,full duration_seconds,finished_at,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb,Instance_is_triangle_free,Instance_is_3_regular,optimiser,optimiser_use_heuristic,heuristic_optimiser_iterations,heuristic_optimiser_sampleSize,circuit_type,learning_rate_adam,warm_start_mode,lasserre_level,initial_solver_level_M,sdp_seed,compare_with_010101,init_QAOAparams_close_to_zero,use_correlations_as_initial_params,time_limit,graph_generation_type,weighted,easiest_first,debug,save_circuit_svg,rerun_exclude_finished_instances,warm_start_cache_producer_only,qaoa_only_from_existing_warm_start_cache,num_repeats,relative_graph_adjList_path,persistent_warm_start_cache,warm_start_cache_dir,warm_start_cache_max_file_mb,warm_start_cache_max_total_gb,sdp_max_parallel,qaoa_max_parallel,sdp_threads,qaoa_threads,sdp_memory_limit_total_gb,sdp_memory_limit_single_gb,sdp_memory_poll_seconds,sdp_max_retries,queue_poll_interval_seconds,benchmark_repeat_idx,sdp_seed,hog_graph_index,edges,weights
6f9cb4ee,8,8,1,50.0,False,True,"[1, 1, 1]",5.467166254526778,15.999999999947434,7.999999999973717,4.531561087616268,4.993126844864512,3.9999999999948876,2.1443335498551144,0.39222029293139204,,0.17004401286994053,-3.541288887409606,2.2293555562900846,,0.4077716777762507,,,,119.82492089271545,119.9072904586792,True,0.08629751205444336,0.003914356231689453,0.0,0.08629751205444336,Results/warm_start_cache/replacement/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000001_dcf1071fcc31_seed1000042_L2_M1_standard.npz,119.84075284004211,2026-06-24 11:31:43,x86_64,dacsgpu0003,,64,64,3.11.15,0.23,True,False,adam,True,2,1000,hamqaoa,0.05,standard,2,1,1000042,False,False,False,10800,hog,False,True,False,False,False,False,True,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache/replacement,512,60,0,30,1,1,40,40,5,3,5,2,1000042,1,"[(0, 4), (5, 7), (4, 6), (4, 5), (2, 5), (3, 6), (6, 7), (1, 7)]",
1d860102,5,4,3,50.0,False,True,"[1, 1, 1]",2.8546376797184614,7.999999878125193,3.9999999390625964,2.097232152686791,2.496563355416962,1.999997843697629,1.1369577882511848,0.3982844465092737,,1.9077418325505318,0.1816617216576435,2.0908287045264506,,0.7324322520442099,,,,170.59481263160706,170.64419174194336,True,0.05167388916015625,0.0022835731506347656,0.0,0.05167388916015625,Results/warm_start_cache/replacement/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000000_2870a2ee8414_seed42_L2_M1_standard.npz,170.60172152519226,2026-06-24 11:31:44,x86_64,dacsgpu0003,,64,64,3.11.15,0.22,True,False,adam,True,2,1000,hamqaoa,0.05,standard,2,1,42,False,False,False,10800,hog,False,True,False,False,False,False,True,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache/replacement,512,60,0,30,1,1,40,40,5,3,5,1,42,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]",
e04408a9,8,8,1,50.0,False,True,"[1, 1, 1]",5.467166254526778,15.999999999947434,7.999999999973717,4.2814616762165825,4.993126844864512,3.999999999988615,2.1977609929195774,0.4019927126049707,,0.04436489180172476,-3.5601131223363502,2.2199434388204398,,0.4060501063018417,,,,120.25458145141602,120.33627891540527,True,0.08459615707397461,0.0028853416442871094,0.0,0.08459615707397461,Results/warm_start_cache/replacement/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000001_dcf1071fcc31_seed2000042_L2_M1_standard.npz,120.2636547088623,2026-06-24 11:31:44,x86_64,dacsgpu0003,,64,64,3.11.15,0.23,True,False,adam,True,2,1000,hamqaoa,0.05,standard,2,1,2000042,False,False,False,10800,hog,False,True,False,False,False,False,True,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache/replacement,512,60,0,30,1,1,40,40,5,3,5,3,2000042,1,"[(0, 4), (5, 7), (4, 6), (4, 5), (2, 5), (3, 6), (6, 7), (1, 7)]",
e559c989,8,8,1,50.0,False,True,"[1, 1, 1]",5.467166254526778,15.999999999947434,7.999999999973717,4.31586741714149,4.993126844864512,3.99999999999849,2.066949046565068,0.37806588465343405,,0.27522090383570763,-3.5908810030311367,2.2045594984829218,,0.40323622802901976,,,,120.49057364463806,120.57157683372498,True,0.08372139930725098,0.002707958221435547,0.0,0.08372139930725098,Results/warm_start_cache/replacement/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000001_dcf1071fcc31_seed42_L2_M1_standard.npz,120.49972534179688,2026-06-24 11:31:44,x86_64,dacsgpu0003,,64,64,3.11.15,0.22,True,False,adam,True,2,1000,hamqaoa,0.05,standard,2,1,42,False,False,False,10800,hog,False,True,False,False,False,False,True,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache/replacement,512,60,0,30,1,1,40,40,5,3,5,1,42,1,"[(0, 4), (5, 7), (4, 6), (4, 5), (2, 5), (3, 6), (6, 7), (1, 7)]",
cf3aeb7a,5,4,3,50.0,False,True,"[1, 1, 1]",2.8546376797184614,7.999999878125193,3.9999999390625964,2.3675633946695043,2.496563355416962,1.9999999173390628,1.0104441202148724,0.3539658035742482,,1.390858720530448,-0.5882528737179329,1.7058734804800963,,0.5975796832641606,,,,171.68612480163574,171.73430466651917,True,0.049926042556762695,0.0017359256744384766,0.0,0.049926042556762695,Results/warm_start_cache/replacement/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000000_2870a2ee8414_seed1000042_L2_M1_standard.npz,171.6933343410492,2026-06-24 11:31:45,x86_64,dacsgpu0003,,64,64,3.11.15,0.23,True,False,adam,True,2,1000,hamqaoa,0.05,standard,2,1,1000042,False,False,False,10800,hog,False,True,False,False,False,False,True,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache/replacement,512,60,0,30,1,1,40,40,5,3,5,2,1000042,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]",
0eee1568,5,4,3,50.0,False,True,"[1, 1, 1]",2.8546376797184614,7.999999878125193,3.9999999390625964,2.1006952976997004,2.496563355416962,1.9999999774310422,1.1053564248609016,0.3872142628517106,,1.389323224482224,-0.3999638806580572,1.8000180371020136,,0.6305591949166524,,,,170.55572509765625,170.60673785209656,True,0.05244874954223633,0.0014247894287109375,0.0,0.05244874954223633,Results/warm_start_cache/replacement/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000000_2870a2ee8414_seed6000042_L2_M1_standard.npz,170.56342601776123,2026-06-24 11:31:45,x86_64,dacsgpu0003,,64,64,3.11.15,0.23,True,False,adam,True,2,1000,hamqaoa,0.05,standard,2,1,6000042,False,False,False,10800,hog,False,True,False,False,False,False,True,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache/replacement,512,60,0,30,1,1,40,40,5,3,5,7,6000042,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]",
3bd0e410,5,4,3,50.0,False,True,"[1, 1, 1]",2.8546376797184614,7.999999878125193,3.9999999390625964,2.420182779515815,2.496563355416962,1.9999999953162937,1.146623924270421,0.40167056310400373,,1.2825418827343085,-0.42421025935743684,1.7878948656375753,,0.6263123612289411,,,,171.57139086723328,171.62547254562378,True,0.05508279800415039,0.000990152359008789,0.0,0.05508279800415039,Results/warm_start_cache/replacement/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000000_2870a2ee8414_seed4000042_L2_M1_standard.npz,171.57695746421814,2026-06-24 11:31:45,x86_64,dacsgpu0003,,64,64,3.11.15,0.23,True,False,adam,True,2,1000,hamqaoa,0.05,standard,2,1,4000042,False,False,False,10800,hog,False,True,False,False,False,False,True,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache/replacement,512,60,0,30,1,1,40,40,5,3,5,5,4000042,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]",
77ccb008,5,4,3,50.0,False,True,"[1, 1, 1]",2.8546376797184614,7.999999878125193,3.9999999390625964,2.276668213271806,2.496563355416962,1.9999999971019493,1.1593004564775904,0.4061112430183877,,0.7379576695985199,-0.9434414116501979,1.5282792912768504,,0.5353671683572736,,,,171.29783940315247,171.34607672691345,True,0.050219058990478516,0.001969575881958008,0.0,0.050219058990478516,Results/warm_start_cache/replacement/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000000_2870a2ee8414_seed5000042_L2_M1_standard.npz,171.30408811569214,2026-06-24 11:31:45,x86_64,dacsgpu0003,,64,64,3.11.15,0.22,True,False,adam,True,2,1000,hamqaoa,0.05,standard,2,1,5000042,False,False,False,10800,hog,False,True,False,False,False,False,True,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache/replacement,512,60,0,30,1,1,40,40,5,3,5,6,5000042,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]",
63cd934b,5,4,3,50.0,False,True,"[1, 1, 1]",2.8546376797184614,7.999999878125193,3.9999999390625964,2.211277855199919,2.496563355416962,1.9999999958587358,1.0738079466698065,0.37616260525774003,,1.5486893623547946,-0.30369473602306396,1.8481526278472038,,0.6474210863879152,,,,172.4596254825592,172.51074147224426,True,0.052939414978027344,0.0018126964569091797,0.0,0.052939414978027344,Results/warm_start_cache/replacement/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000000_2870a2ee8414_seed3000042_L2_M1_standard.npz,172.46551656723022,2026-06-24 11:31:46,x86_64,dacsgpu0003,,64,64,3.11.15,0.22,True,False,adam,True,2,1000,hamqaoa,0.05,standard,2,1,3000042,False,False,False,10800,hog,False,True,False,False,False,False,True,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache/replacement,512,60,0,30,1,1,40,40,5,3,5,4,3000042,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]",
69e5e8f7,5,4,3,50.0,False,True,"[1, 1, 1]",2.8546376797184614,7.999999878125193,3.9999999390625964,2.455165408256616,2.496563355416962,1.9999999825826562,1.1053828929923202,0.38722353482748767,,1.0517142291036192,-0.7375199500770528,1.6312400075441298,,0.5714350438003785,,,,171.9676854610443,172.01930594444275,True,0.05302715301513672,0.001394033432006836,0.0,0.05302715301513672,Results/warm_start_cache/replacement/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000000_2870a2ee8414_seed7000042_L2_M1_standard.npz,171.97518110275269,2026-06-24 11:31:47,x86_64,dacsgpu0003,,64,64,3.11.15,0.22,True,False,adam,True,2,1000,hamqaoa,0.05,standard,2,1,7000042,False,False,False,10800,hog,False,True,False,False,False,False,True,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache/replacement,512,60,0,30,1,1,40,40,5,3,5,8,7000042,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]",
aadb6f77,5,4,3,50.0,False,True,"[1, 1, 1]",2.8546376797184614,7.999999878125193,3.9999999390625964,2.262083140401424,2.496563355416962,1.999999992220232,1.121234415783404,0.3927764366558721,,0.9632444477626212,-0.7942867051110349,1.6028566396647146,,0.5614921469903656,,,,171.83226776123047,171.8810999393463,True,0.05021977424621582,0.0013759136199951172,0.0,0.05021977424621582,Results/warm_start_cache/replacement/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000000_2870a2ee8414_seed9000042_L2_M1_standard.npz,171.8406002521515,2026-06-24 11:31:48,x86_64,dacsgpu0003,,64,64,3.11.15,0.22,True,False,adam,True,2,1000,hamqaoa,0.05,standard,2,1,9000042,False,False,False,10800,hog,False,True,False,False,False,False,True,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache/replacement,512,60,0,30,1,1,40,40,5,3,5,10,9000042,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]",
818933a0,8,8,1,50.0,False,True,"[1, 1, 1]",5.467166254526778,15.999999999947434,7.999999999973717,4.258252032314839,4.993126844864512,3.9999999999980878,2.196900277521001,0.40183527905374783,,0.12132899652841456,-3.4848704484257587,2.2575647757852084,,0.41293142931513366,,,,119.18971347808838,119.27285647392273,True,0.08526206016540527,0.002109527587890625,0.0,0.08526206016540527,Results/warm_start_cache/replacement/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000001_dcf1071fcc31_seed3000042_L2_M1_standard.npz,119.2015175819397,2026-06-24 11:31:48,x86_64,dacsgpu0003,,64,64,3.11.15,0.23,True,False,adam,True,2,1000,hamqaoa,0.05,standard,2,1,3000042,False,False,False,10800,hog,False,True,False,False,False,False,True,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache/replacement,512,60,0,30,1,1,40,40,5,3,5,4,3000042,1,"[(0, 4), (5, 7), (4, 6), (4, 5), (2, 5), (3, 6), (6, 7), (1, 7)]",
8a167f60,5,4,3,50.0,False,True,"[1, 1, 1]",2.8546376797184614,7.999999878125193,3.9999999390625964,2.1900367385586623,2.496563355416962,1.9999999926263397,1.0285070981731521,0.3602933939674574,,1.4946221016714478,-0.44836368723492726,1.775818149008876,,0.6220818010025062,,,,173.41522550582886,173.46770906448364,True,0.05397367477416992,0.0014781951904296875,0.0,0.05397367477416992,Results/warm_start_cache/replacement/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000000_2870a2ee8414_seed8000042_L2_M1_standard.npz,173.42352533340454,2026-06-24 11:31:49,x86_64,dacsgpu0003,,64,64,3.11.15,0.22,True,False,adam,True,2,1000,hamqaoa,0.05,standard,2,1,8000042,False,False,False,10800,hog,False,True,False,False,False,False,True,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache/replacement,512,60,0,30,1,1,40,40,5,3,5,9,8000042,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]",
e88dbc90,5,4,3,50.0,False,True,"[1, 1, 1]",2.8546376797184614,7.999999878125193,3.9999999390625964,2.464251605883957,2.496563355416962,1.999999995101862,1.1157093034584111,0.3908409502842574,,1.0516357606458957,-0.7169456226410063,1.641527183781359,,0.5750387152261139,,,,172.19382500648499,172.24643087387085,True,0.053496599197387695,0.0008795261383056641,0.0,0.053496599197387695,Results/warm_start_cache/replacement/triangleFree_connected_4to8vertices_176instances_AdjacencyList__filehash_279b7452/hog_idx000000_2870a2ee8414_seed2000042_L2_M1_standard.npz,172.20136976242065,2026-06-24 11:31:50,x86_64,dacsgpu0003,,64,64,3.11.15,0.23,True,False,adam,True,2,1000,hamqaoa,0.05,standard,2,1,2000042,False,False,False,10800,hog,False,True,False,False,False,False,True,10,HOG_graphs/triangleFree_connected_4to8vertices_176instances_AdjacencyList.txt,True,Results/warm_start_cache/replacement,512,60,0,30,1,1,40,40,5,3,5,3,2000042,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]",
