run_id,n,m,p,precision/iterations,singlet_injection,warm_start,parameter_vector,optimal_result,sdp_objective_value_step1,sdp_objective_value_king_normalized_step1,algorithm17_actual_energy,algorithm17_lower_bound_energy,initial_ws_energy_prodStates_step2,initial_sdp_statevector_energy,initial_sdp_statevec_ratio,initial_ws_energy_010101,QAOA_improvement_over_SDP_statevectorEnergy,QAOA_improvement_over_SDP_prodStatesEnergy,result,result_010101,approx_ratio,approx_ratio_010101,diff. approx. ratio,sdp ws greater,duration_seconds,duration_seconds_excluding_warm_start_cache_io,warm_start_cache_used,warm_start_compute_time_seconds,warm_start_load_time_seconds,warm_start_save_time_seconds,warm_start_effective_time_seconds,warm_start_cache_path,full duration_seconds,finished_at,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb,Instance_is_triangle_free,Instance_is_3_regular,optimiser,optimiser_use_heuristic,heuristic_optimiser_iterations,heuristic_optimiser_sampleSize,circuit_type,learning_rate_adam,warm_start_mode,lasserre_level,initial_solver_level_M,sdp_solver_mode,sdp_scs_eps,sdp_scs_max_iters,compare_with_010101,init_QAOAparams_close_to_zero,use_correlations_as_initial_params,graph_generation_type,weighted,easiest_first,debug,save_circuit_svg,rerun_exclude_finished_instances,warm_start_cache_producer_only,qaoa_only_from_existing_warm_start_cache,num_repeats,relative_graph_adjList_path,persistent_warm_start_cache,warm_start_cache_dir,warm_start_cache_max_file_mb,warm_start_cache_max_total_gb,sdp_max_parallel,qaoa_max_parallel,sdp_threads,qaoa_threads,sdp_memory_limit_total_gb,sdp_memory_limit_single_gb,sdp_memory_poll_seconds,sdp_max_retries,queue_poll_interval_seconds,benchmark_repeat_idx,sdp_seed,hog_graph_index,edges,weights
05bed945,5,6,2,50.0,False,True,"[1, 1, 1]",,6.000612770500337,3.0003063852501684,2.177038185174419,1.7951026322968564,2.1266261800580186,1.8168595936278973,,,1.5272364061769124,0.9077032333166697,2.5804777967163535,,,,,,211.3128261566162,230.68910574913025,True,19.38099956512451,0.0047054290771484375,0.0,19.38099956512451,Results/warm_start_cache/fast_test_scs/stress_test__filehash_182b889d/hog_idx000000_3466e70f853a_noseed_L2_M2_standard.npz,211.32555222511292,2026-07-14 22:25:54,x86_64,dacsgpu0003,,64,64,3.11.15,0.23,False,False,adam,True,2,1000,hamqaoa,0.05,standard,2,2,scs,1e-06,100000,False,False,False,hog,False,True,False,False,True,False,True,1,HOG_graphs/stress_test.txt,True,Results/warm_start_cache/fast_test_scs,512,60,0,60,1,1,500,500,5,3,5,1,,0,"[(0, 1), (0, 4), (0, 3), (1, 2), (3, 4), (0, 2)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
7f2e96ca,5,6,2,10.0,False,True,"[1, 1, 1]",,6.000612770500337,3.0003063852501684,2.177038185174419,1.7951026322968564,2.1266261800580186,1.8168595936278973,,,1.4434137077670148,0.8238805349067722,2.5385664475114047,,,,,,212.56910634040833,231.94759821891785,True,19.38099956512451,0.0024929046630859375,0.0,19.38099956512451,Results/warm_start_cache/fast_test_scs/stress_test__filehash_182b889d/hog_idx000000_3466e70f853a_noseed_L2_M2_standard.npz,212.57950377464294,2026-07-14 22:25:55,x86_64,dacsgpu0003,,64,64,3.11.15,0.22,False,False,adam,True,2,1000,hamqaoa,0.05,standard,2,2,scs,1e-06,100000,False,False,False,hog,False,True,False,False,True,False,True,1,HOG_graphs/stress_test.txt,True,Results/warm_start_cache/fast_test_scs,512,60,0,60,1,1,500,500,5,3,5,1,,0,"[(0, 1), (0, 4), (0, 3), (1, 2), (3, 4), (0, 2)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
1f1e3edd,7,9,2,5.0,False,True,"[1, 1, 1]",,9.000108291854898,4.500054145927449,3.0334355178869266,2.7138024336530115,2.894135875627407,2.7770935142682176,,,0.7856985407423327,0.551613818023954,3.169942784639384,,,,,,277.98668098449707,615.1082224845886,True,337.1227104663849,0.0011544227600097656,0.0,337.1227104663849,Results/warm_start_cache/fast_test_scs/stress_test__filehash_182b889d/hog_idx000001_bd27a98b3d76_noseed_L2_M2_standard.npz,278.00159549713135,2026-07-14 22:27:01,x86_64,dacsgpu0003,,64,64,3.11.15,0.25,False,False,adam,True,2,1000,hamqaoa,0.05,standard,2,2,scs,1e-06,100000,False,False,False,hog,False,True,False,False,True,False,True,1,HOG_graphs/stress_test.txt,True,Results/warm_start_cache/fast_test_scs,512,60,0,60,1,1,500,500,5,3,5,1,,1,"[(0, 1), (0, 4), (0, 3), (1, 2), (5, 6), (0, 6), (3, 4), (0, 5), (0, 2)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
8184a0d5,7,9,2,10.0,False,True,"[1, 1, 1]",,9.000108291854898,4.500054145927449,3.0334355178869266,2.7138024336530115,2.894135875627407,2.7770935142682176,,,0.7863040650660444,0.5522193423476658,3.17024554680124,,,,,,278.0353491306305,615.1570250988007,True,337.1227104663849,0.0010187625885009766,0.0,337.1227104663849,Results/warm_start_cache/fast_test_scs/stress_test__filehash_182b889d/hog_idx000001_bd27a98b3d76_noseed_L2_M2_standard.npz,278.0429356098175,2026-07-14 22:27:01,x86_64,dacsgpu0003,,64,64,3.11.15,0.25,False,False,adam,True,2,1000,hamqaoa,0.05,standard,2,2,scs,1e-06,100000,False,False,False,hog,False,True,False,False,True,False,True,1,HOG_graphs/stress_test.txt,True,Results/warm_start_cache/fast_test_scs,512,60,0,60,1,1,500,500,5,3,5,1,,1,"[(0, 1), (0, 4), (0, 3), (1, 2), (5, 6), (0, 6), (3, 4), (0, 5), (0, 2)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
5ac525b1,7,9,2,25.0,False,True,"[1, 1, 1]",,9.000108291854898,4.500054145927449,3.0334355178869266,2.7138024336530115,2.894135875627407,2.7770935142682176,,,0.8381981521851731,0.6041134294667945,3.196192590360804,,,,,,280.3316614627838,617.453292131424,True,337.1227104663849,0.0010638236999511719,0.0,337.1227104663849,Results/warm_start_cache/fast_test_scs/stress_test__filehash_182b889d/hog_idx000001_bd27a98b3d76_noseed_L2_M2_standard.npz,280.3397994041443,2026-07-14 22:27:04,x86_64,dacsgpu0003,,64,64,3.11.15,0.25,False,False,adam,True,2,1000,hamqaoa,0.05,standard,2,2,scs,1e-06,100000,False,False,False,hog,False,True,False,False,True,False,True,1,HOG_graphs/stress_test.txt,True,Results/warm_start_cache/fast_test_scs,512,60,0,60,1,1,500,500,5,3,5,1,,1,"[(0, 1), (0, 4), (0, 3), (1, 2), (5, 6), (0, 6), (3, 4), (0, 5), (0, 2)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
c19fe0d0,7,9,2,50.0,False,True,"[1, 1, 1]",,9.000108291854898,4.500054145927449,3.0334355178869266,2.7138024336530115,2.894135875627407,2.7770935142682176,,,0.84378352461595,0.6096988018975713,3.1989852765761926,,,,,,283.29091453552246,620.412467956543,True,337.1227104663849,0.0011432170867919922,0.0,337.1227104663849,Results/warm_start_cache/fast_test_scs/stress_test__filehash_182b889d/hog_idx000001_bd27a98b3d76_noseed_L2_M2_standard.npz,283.30257177352905,2026-07-14 22:27:07,x86_64,dacsgpu0003,,64,64,3.11.15,0.25,False,False,adam,True,2,1000,hamqaoa,0.05,standard,2,2,scs,1e-06,100000,False,False,False,hog,False,True,False,False,True,False,True,1,HOG_graphs/stress_test.txt,True,Results/warm_start_cache/fast_test_scs,512,60,0,60,1,1,500,500,5,3,5,1,,1,"[(0, 1), (0, 4), (0, 3), (1, 2), (5, 6), (0, 6), (3, 4), (0, 5), (0, 2)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
4b08d662,5,6,3,25.0,False,True,"[1, 1, 1]",,6.000612770500337,3.0003063852501684,2.177038185174419,1.7951026322968564,2.1266261800580186,1.8168595936278973,,,1.579143178097628,0.9596100052373853,2.6064311826767113,,,,,,328.47936177253723,347.85751724243164,True,19.38099956512451,0.002829313278198242,0.0,19.38099956512451,Results/warm_start_cache/fast_test_scs/stress_test__filehash_182b889d/hog_idx000000_3466e70f853a_noseed_L2_M2_standard.npz,328.490287065506,2026-07-14 22:27:51,x86_64,dacsgpu0003,,64,64,3.11.15,0.23,False,False,adam,True,2,1000,hamqaoa,0.05,standard,2,2,scs,1e-06,100000,False,False,False,hog,False,True,False,False,True,False,True,1,HOG_graphs/stress_test.txt,True,Results/warm_start_cache/fast_test_scs,512,60,0,60,1,1,500,500,5,3,5,1,,0,"[(0, 1), (0, 4), (0, 3), (1, 2), (3, 4), (0, 2)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
3b2551ee,5,6,3,50.0,False,True,"[1, 1, 1]",,6.000612770500337,3.0003063852501684,2.177038185174419,1.7951026322968564,2.1266261800580186,1.8168595936278973,,,1.608168905907481,0.9886357330472384,2.620944046581638,,,,,,330.71334528923035,350.09111309051514,True,19.38099956512451,0.003216981887817383,0.0,19.38099956512451,Results/warm_start_cache/fast_test_scs/stress_test__filehash_182b889d/hog_idx000000_3466e70f853a_noseed_L2_M2_standard.npz,330.7247779369354,2026-07-14 22:27:53,x86_64,dacsgpu0003,,64,64,3.11.15,0.23,False,False,adam,True,2,1000,hamqaoa,0.05,standard,2,2,scs,1e-06,100000,False,False,False,hog,False,True,False,False,True,False,True,1,HOG_graphs/stress_test.txt,True,Results/warm_start_cache/fast_test_scs,512,60,0,60,1,1,500,500,5,3,5,1,,0,"[(0, 1), (0, 4), (0, 3), (1, 2), (3, 4), (0, 2)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
eca4fe3e,5,6,3,5.0,False,True,"[1, 1, 1]",,6.000612770500337,3.0003063852501684,2.177038185174419,1.7951026322968564,2.1266261800580186,1.8168595936278973,,,1.3750139648956021,0.7554807920353594,2.5043665760756983,,,,,,330.45551347732544,349.8350601196289,True,19.38099956512451,0.0014357566833496094,0.0,19.38099956512451,Results/warm_start_cache/fast_test_scs/stress_test__filehash_182b889d/hog_idx000000_3466e70f853a_noseed_L2_M2_standard.npz,330.4786443710327,2026-07-14 22:27:58,x86_64,dacsgpu0003,,64,64,3.11.15,0.22,False,False,adam,True,2,1000,hamqaoa,0.05,standard,2,2,scs,1e-06,100000,False,False,False,hog,False,True,False,False,True,False,True,1,HOG_graphs/stress_test.txt,True,Results/warm_start_cache/fast_test_scs,512,60,0,60,1,1,500,500,5,3,5,1,,0,"[(0, 1), (0, 4), (0, 3), (1, 2), (3, 4), (0, 2)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
499379a1,5,6,3,10.0,False,True,"[1, 1, 1]",,6.000612770500337,3.0003063852501684,2.177038185174419,1.7951026322968564,2.1266261800580186,1.8168595936278973,,,1.5145714213387724,0.8950382484785298,2.5741453042972835,,,,,,331.8379867076874,351.21756744384766,True,19.38099956512451,0.0014045238494873047,0.0,19.38099956512451,Results/warm_start_cache/fast_test_scs/stress_test__filehash_182b889d/hog_idx000000_3466e70f853a_noseed_L2_M2_standard.npz,331.86001682281494,2026-07-14 22:27:59,x86_64,dacsgpu0003,,64,64,3.11.15,0.23,False,False,adam,True,2,1000,hamqaoa,0.05,standard,2,2,scs,1e-06,100000,False,False,False,hog,False,True,False,False,True,False,True,1,HOG_graphs/stress_test.txt,True,Results/warm_start_cache/fast_test_scs,512,60,0,60,1,1,500,500,5,3,5,1,,0,"[(0, 1), (0, 4), (0, 3), (1, 2), (3, 4), (0, 2)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
f0ae9178,7,9,3,5.0,False,True,"[1, 1, 1]",,9.000108291854898,4.500054145927449,3.0334355178869266,2.7138024336530115,2.894135875627407,2.7770935142682176,,,1.0696189187997245,0.8355341960813458,3.31190297366808,,,,,,443.49871253967285,780.6202073097229,True,337.1227104663849,0.0012013912200927734,0.0,337.1227104663849,Results/warm_start_cache/fast_test_scs/stress_test__filehash_182b889d/hog_idx000001_bd27a98b3d76_noseed_L2_M2_standard.npz,443.5128827095032,2026-07-14 22:29:46,x86_64,dacsgpu0003,,64,64,3.11.15,0.27,False,False,adam,True,2,1000,hamqaoa,0.05,standard,2,2,scs,1e-06,100000,False,False,False,hog,False,True,False,False,True,False,True,1,HOG_graphs/stress_test.txt,True,Results/warm_start_cache/fast_test_scs,512,60,0,60,1,1,500,500,5,3,5,1,,1,"[(0, 1), (0, 4), (0, 3), (1, 2), (5, 6), (0, 6), (3, 4), (0, 5), (0, 2)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
6ae19889,7,9,3,10.0,False,True,"[1, 1, 1]",,9.000108291854898,4.500054145927449,3.0334355178869266,2.7138024336530115,2.894135875627407,2.7770935142682176,,,1.283683633243072,1.0495989105246935,3.4189353308897537,,,,,,443.7053508758545,780.8266291618347,True,337.1227104663849,0.0014166831970214844,0.0,337.1227104663849,Results/warm_start_cache/fast_test_scs/stress_test__filehash_182b889d/hog_idx000001_bd27a98b3d76_noseed_L2_M2_standard.npz,443.71847224235535,2026-07-14 22:29:47,x86_64,dacsgpu0003,,64,64,3.11.15,0.26,False,False,adam,True,2,1000,hamqaoa,0.05,standard,2,2,scs,1e-06,100000,False,False,False,hog,False,True,False,False,True,False,True,1,HOG_graphs/stress_test.txt,True,Results/warm_start_cache/fast_test_scs,512,60,0,60,1,1,500,500,5,3,5,1,,1,"[(0, 1), (0, 4), (0, 3), (1, 2), (5, 6), (0, 6), (3, 4), (0, 5), (0, 2)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
5c9e8f23,7,9,3,25.0,False,True,"[1, 1, 1]",,9.000108291854898,4.500054145927449,3.0334355178869266,2.7138024336530115,2.894135875627407,2.7770935142682176,,,1.097905352234334,0.8638206295159554,3.3260461903853846,,,,,,443.61522030830383,780.7368733882904,True,337.1227104663849,0.0010406970977783203,0.0,337.1227104663849,Results/warm_start_cache/fast_test_scs/stress_test__filehash_182b889d/hog_idx000001_bd27a98b3d76_noseed_L2_M2_standard.npz,443.6307141780853,2026-07-14 22:29:47,x86_64,dacsgpu0003,,64,64,3.11.15,0.26,False,False,adam,True,2,1000,hamqaoa,0.05,standard,2,2,scs,1e-06,100000,False,False,False,hog,False,True,False,False,True,False,True,1,HOG_graphs/stress_test.txt,True,Results/warm_start_cache/fast_test_scs,512,60,0,60,1,1,500,500,5,3,5,1,,1,"[(0, 1), (0, 4), (0, 3), (1, 2), (5, 6), (0, 6), (3, 4), (0, 5), (0, 2)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
20f3a6de,7,9,3,50.0,False,True,"[1, 1, 1]",,9.000108291854898,4.500054145927449,3.0334355178869266,2.7138024336530115,2.894135875627407,2.7770935142682176,,,1.1305022444178494,0.8964175216994708,3.3423446364771423,,,,,,454.8875415325165,792.0087947845459,True,337.1227104663849,0.0014421939849853516,0.0,337.1227104663849,Results/warm_start_cache/fast_test_scs/stress_test__filehash_182b889d/hog_idx000001_bd27a98b3d76_noseed_L2_M2_standard.npz,454.8975968360901,2026-07-14 22:29:59,x86_64,dacsgpu0003,,64,64,3.11.15,0.26,False,False,adam,True,2,1000,hamqaoa,0.05,standard,2,2,scs,1e-06,100000,False,False,False,hog,False,True,False,False,True,False,True,1,HOG_graphs/stress_test.txt,True,Results/warm_start_cache/fast_test_scs,512,60,0,60,1,1,500,500,5,3,5,1,,1,"[(0, 1), (0, 4), (0, 3), (1, 2), (5, 6), (0, 6), (3, 4), (0, 5), (0, 2)]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
